#{"t_start": 1622658581.794474, "env_id": "HalfCheetah-v2"}
r,l,t
638.406705,1000,888.604588
1066.99424,1000,889.208697
941.685562,1000,889.805189
936.548158,1000,891.572312
1118.384547,1000,892.175174
1098.107786,1000,893.945104
1150.131374,1000,894.540471
1034.060324,1000,896.280194
1078.54075,1000,896.882214
1050.737441,1000,898.616682
477.878709,1000,899.213708
1153.152375,1000,900.967789
1150.632271,1000,901.573969
849.367225,1000,903.36316
1131.993694,1000,903.964215
1137.614067,1000,905.70171
846.928007,1000,906.294067
938.360651,1000,908.031318
1048.975236,1000,908.628278
939.103038,1000,910.361469
1018.874198,1000,910.957063
996.683329,1000,912.724391
975.031743,1000,913.313832
943.095301,1000,915.061802
995.010503,1000,915.655876
1009.995417,1000,917.449442
627.896106,1000,918.079239
942.352926,1000,919.827323
1104.989851,1000,920.421213
1059.471685,1000,922.178021
1024.598504,1000,922.793982
946.754207,1000,924.538607
709.364311,1000,925.131201
1108.160975,1000,926.883521
646.738503,1000,927.474701
941.89325,1000,929.211214
1058.328854,1000,929.807985
1017.536948,1000,931.542749
967.107807,1000,932.136211
1090.203148,1000,933.906607
1120.521411,1000,934.516238
918.242347,1000,936.264343
1025.893142,1000,936.867013
810.789674,1000,937.457199
1013.596758,1000,939.193743
1002.358226,1000,939.791158
975.896382,1000,941.526994
778.321006,1000,942.126725
763.429895,1000,943.882278
1061.155916,1000,944.480463
1059.669,1000,946.220374
830.861908,1000,946.826042
1162.778191,1000,948.59649
995.79118,1000,949.199148
814.062929,1000,950.948781
1096.530118,1000,951.556725
619.311621,1000,953.301393
1067.407669,1000,953.903459
835.963176,1000,955.645809
764.015162,1000,956.236971
1147.709076,1000,957.944596
1099.225476,1000,958.544842
893.598715,1000,960.278447
774.927401,1000,960.875855
657.603432,1000,962.637012
951.473427,1000,963.231637
1151.136125,1000,964.976253
1064.455439,1000,965.571152
995.710669,1000,967.329557
934.694722,1000,967.927685
1033.52163,1000,969.673602
807.604849,1000,970.262139
1111.765299,1000,972.004796
838.801038,1000,972.61709
999.038435,1000,974.460936
1067.007273,1000,975.095638
869.010226,1000,976.888273
556.334217,1000,977.481306
1129.368683,1000,979.229432
1003.497446,1000,979.835927
1146.334283,1000,981.577335
918.342773,1000,982.17109
1070.91565,1000,983.936148
744.97206,1000,984.535306
964.388498,1000,986.276894
949.525349,1000,986.871293
1199.464455,1000,987.466427
817.969,1000,989.219031
888.519037,1000,989.819021
1164.796453,1000,991.557809
947.688222,1000,992.148622
1164.291561,1000,993.932493
1115.098291,1000,994.53028
536.395043,1000,996.283429
1101.20673,1000,996.890063
1172.843538,1000,998.631197
806.34842,1000,999.230621
1109.036927,1000,1000.981006
1063.805595,1000,1001.574529
968.004951,1000,1003.341854
1096.726262,1000,1003.942759
777.807122,1000,1005.712451
806.619865,1000,1006.315478
1115.286281,1000,1008.129154
999.0242,1000,1008.728445
1129.240464,1000,1010.469279
932.732884,1000,1011.068531
1001.577112,1000,1012.823226
1040.003655,1000,1013.423675
895.497028,1000,1015.16534
1138.582424,1000,1015.764652
1250.163612,1000,1017.500931
681.206243,1000,1018.094808
1164.659532,1000,1019.842939
1115.651355,1000,1020.439267
1182.034335,1000,1022.181307
1200.679267,1000,1022.790936
1109.094519,1000,1024.53452
1052.794857,1000,1025.126635
1107.714057,1000,1026.861786
1068.159149,1000,1027.458581
1001.554477,1000,1029.196993
1128.738059,1000,1029.790796
1235.826808,1000,1031.525171
1076.033946,1000,1032.114652
1165.02814,1000,1033.871584
1189.538153,1000,1034.467369
1193.478918,1000,1036.196776
894.189405,1000,1036.876173
1136.827491,1000,1037.478573
1210.084152,1000,1039.251396
1047.3519,1000,1039.847859
1087.40611,1000,1041.594062
967.603652,1000,1042.186687
1095.083083,1000,1043.94835
1153.186516,1000,1044.544742
1178.923493,1000,1046.268245
1250.869525,1000,1046.866408
1243.930333,1000,1048.603814
1014.539956,1000,1049.199446
1220.655836,1000,1050.943073
1169.448594,1000,1051.533188
1132.329577,1000,1053.29312
952.685813,1000,1053.889776
1199.856162,1000,1055.622633
1148.618378,1000,1056.218522
875.401102,1000,1057.965292
694.600006,1000,1058.553826
994.376979,1000,1060.284774
1010.020592,1000,1060.881167
990.269191,1000,1062.632936
1233.686013,1000,1063.235056
1026.706508,1000,1065.007848
1015.358919,1000,1065.603023
1180.618504,1000,1067.354962
875.830269,1000,1067.972486
1138.652573,1000,1069.734798
1162.3036,1000,1070.327317
984.073878,1000,1072.095726
1158.432958,1000,1072.695565
1116.756674,1000,1074.444771
1067.185066,1000,1075.042002
1137.731329,1000,1076.794557
1014.326773,1000,1077.390345
1190.480338,1000,1079.133192
957.879554,1000,1079.729386
981.0387,1000,1081.479456
1077.585256,1000,1082.083554
1067.586903,1000,1083.841496
1255.517048,1000,1084.427978
1340.951028,1000,1086.315862
1157.567301,1000,1086.969406
1077.358072,1000,1087.736501
1197.342401,1000,1090.016986
1325.071916,1000,1090.621626
1034.379331,1000,1092.382091
1225.194236,1000,1092.998468
1262.159543,1000,1094.757441
1138.702306,1000,1095.366291
1188.4005,1000,1097.149699
1097.363111,1000,1097.765977
1352.101953,1000,1099.553244
1275.068857,1000,1100.149122
1243.645906,1000,1101.948455
1037.785578,1000,1102.567217
1258.719953,1000,1104.321098
1216.848861,1000,1104.93363
1138.135275,1000,1106.678726
1218.388388,1000,1107.299191
1193.034831,1000,1109.048282
1169.773585,1000,1109.640365
1055.332065,1000,1111.373151
1217.444849,1000,1111.967752
1288.899748,1000,1113.728005
817.987026,1000,1114.329854
1050.448897,1000,1116.146126
1246.104135,1000,1116.764855
1207.708953,1000,1118.548256
761.988718,1000,1119.157674
1203.647617,1000,1120.931926
1224.394077,1000,1121.534144
1213.081509,1000,1123.314261
948.152982,1000,1123.914549
979.461273,1000,1125.65347
1118.379719,1000,1126.251844
1191.605273,1000,1128.019224
1119.618804,1000,1128.611598
1296.065064,1000,1130.348136
1223.28677,1000,1130.943321
1394.989912,1000,1132.690619
1293.919468,1000,1133.288474
1226.437761,1000,1135.049866
1112.356337,1000,1135.645288
1153.003161,1000,1137.386079
1250.553402,1000,1137.980542
1190.208737,1000,1138.574655
1138.483478,1000,1140.308548
1287.099644,1000,1140.903584
1192.134051,1000,1142.664858
1178.957115,1000,1143.263338
1158.379705,1000,1144.997647
1246.092909,1000,1145.594469
1380.373483,1000,1147.328388
991.600591,1000,1147.920378
1213.920434,1000,1149.655254
952.8611,1000,1150.246404
1255.522657,1000,1151.985993
1130.572609,1000,1152.601595
996.599242,1000,1154.349916
1176.358775,1000,1154.946945
1315.869015,1000,1156.833744
1181.491705,1000,1157.437639
1156.075967,1000,1159.208219
1290.997708,1000,1159.815091
1345.237348,1000,1161.559019
1226.560892,1000,1162.157085
1314.627538,1000,1163.927277
1232.773804,1000,1164.572296
1294.259189,1000,1166.335225
1284.867096,1000,1166.944354
1233.899917,1000,1168.700838
1347.636188,1000,1169.300747
1287.595509,1000,1171.074337
1130.715585,1000,1171.682761
1250.830401,1000,1173.622201
1442.238174,1000,1174.291428
1454.184837,1000,1176.102794
1323.849499,1000,1176.728241
1231.643176,1000,1178.726064
1148.745355,1000,1179.36769
1164.264408,1000,1181.124358
1128.901975,1000,1181.709651
1179.690188,1000,1183.471179
1200.479396,1000,1184.087869
1353.443929,1000,1185.826399
1448.680644,1000,1186.449685
1230.611482,1000,1188.213044
1262.422621,1000,1188.805371
1158.177807,1000,1189.429589
1113.066901,1000,1191.16099
1427.446449,1000,1191.759044
1293.691858,1000,1193.52263
1302.053,1000,1194.128006
962.379036,1000,1195.879946
919.195233,1000,1196.480859
1278.490526,1000,1198.22466
1342.708554,1000,1198.818287
1081.672777,1000,1200.552198
1381.600505,1000,1201.146522
1313.465406,1000,1202.910294
1382.319365,1000,1203.509897
1382.515757,1000,1205.260285
1302.547853,1000,1205.858484
1371.82486,1000,1207.601754
1304.946851,1000,1208.195813
1195.700634,1000,1209.938966
1130.370668,1000,1210.53848
1235.946706,1000,1212.278389
1193.585084,1000,1212.890111
1255.67531,1000,1214.637282
1290.379239,1000,1215.24037
1312.988049,1000,1217.019421
1341.06828,1000,1217.614583
1226.584676,1000,1219.368856
