#{"t_start": 1622654718.476987, "env_id": "CartPole-v1"}
r,l,t
500.0,500,386.276825
500.0,500,386.488573
500.0,500,387.731617
500.0,500,387.946439
500.0,500,388.155823
500.0,500,388.363722
500.0,500,389.605454
500.0,500,389.867333
500.0,500,390.084173
500.0,500,390.290844
500.0,500,390.504404
500.0,500,391.748994
500.0,500,391.965308
500.0,500,392.174532
500.0,500,392.38513
500.0,500,393.641895
500.0,500,393.853407
500.0,500,394.072639
500.0,500,394.280703
500.0,500,395.536913
500.0,500,395.753613
500.0,500,395.968864
500.0,500,396.178542
500.0,500,397.435629
500.0,500,397.648069
500.0,500,397.859994
500.0,500,398.074248
500.0,500,399.306266
500.0,500,399.610757
500.0,500,399.819627
500.0,500,400.036717
500.0,500,401.290194
500.0,500,401.506655
500.0,500,401.733205
500.0,500,401.94824
500.0,500,403.193357
500.0,500,403.403783
500.0,500,403.618725
500.0,500,403.82825
500.0,500,405.080914
500.0,500,405.289122
500.0,500,405.515051
500.0,500,405.732749
500.0,500,406.98547
500.0,500,407.194757
500.0,500,407.403799
500.0,500,407.619403
500.0,500,408.856198
500.0,500,409.070376
500.0,500,409.278272
500.0,500,409.492504
500.0,500,409.704301
500.0,500,410.95962
500.0,500,411.168092
500.0,500,411.379735
500.0,500,411.597262
500.0,500,412.840291
500.0,500,413.055267
500.0,500,413.266073
500.0,500,413.482151
500.0,500,414.726106
500.0,500,414.942141
500.0,500,415.151254
500.0,500,415.358693
500.0,500,416.622229
500.0,500,416.83241
500.0,500,417.046222
500.0,500,417.255364
500.0,500,418.51001
500.0,500,418.719089
500.0,500,418.932874
500.0,500,419.142523
500.0,500,420.38749
500.0,500,420.602472
500.0,500,420.812206
500.0,500,421.028407
500.0,500,422.268595
500.0,500,422.486018
500.0,500,422.694721
500.0,500,422.909622
500.0,500,424.238055
500.0,500,424.455851
500.0,500,424.667135
500.0,500,424.877016
500.0,500,426.147201
500.0,500,426.354995
500.0,500,426.573311
500.0,500,426.784098
500.0,500,428.029247
500.0,500,428.238522
500.0,500,428.454025
500.0,500,428.664379
500.0,500,429.911647
500.0,500,430.126469
500.0,500,430.333912
500.0,500,430.549695
500.0,500,430.758622
500.0,500,432.112681
500.0,500,432.320049
500.0,500,432.535422
500.0,500,432.804983
500.0,500,434.051826
500.0,500,434.261489
500.0,500,434.475761
500.0,500,434.685799
500.0,500,435.949228
500.0,500,436.158772
500.0,500,436.368358
500.0,500,436.584753
500.0,500,437.834291
500.0,500,438.047693
500.0,500,438.254906
500.0,500,438.469668
500.0,500,439.708093
500.0,500,439.924689
500.0,500,440.134349
500.0,500,440.341671
500.0,500,441.594886
500.0,500,441.809273
500.0,500,442.022432
500.0,500,442.231006
500.0,500,443.477955
500.0,500,443.688252
500.0,500,443.898524
500.0,500,444.113135
500.0,500,445.356923
500.0,500,445.584593
500.0,500,445.800316
500.0,500,446.017667
500.0,500,447.258461
500.0,500,447.473813
500.0,500,447.683519
500.0,500,447.893233
500.0,500,449.136133
500.0,500,449.345236
500.0,500,449.562046
500.0,500,449.771887
500.0,500,449.986345
500.0,500,451.222824
500.0,500,451.442896
500.0,500,451.652185
500.0,500,451.863617
500.0,500,453.106721
500.0,500,453.316596
500.0,500,453.532461
500.0,500,453.813835
500.0,500,455.06052
500.0,500,455.269238
500.0,500,455.484446
500.0,500,455.704922
500.0,500,456.97737
500.0,500,457.186509
500.0,500,457.394249
500.0,500,457.611814
500.0,500,458.857925
500.0,500,459.072176
500.0,500,459.279507
500.0,500,459.558682
500.0,500,460.79869
500.0,500,461.017217
500.0,500,461.242513
500.0,500,461.456015
500.0,500,462.709978
500.0,500,462.927369
500.0,500,463.136954
500.0,500,463.345849
500.0,500,464.599077
500.0,500,464.809406
500.0,500,465.026441
500.0,500,465.234947
500.0,500,466.499333
500.0,500,466.710026
500.0,500,466.922286
500.0,500,467.134528
500.0,500,468.367481
500.0,500,468.581582
500.0,500,468.790284
500.0,500,469.004957
500.0,500,470.244125
500.0,500,470.460743
500.0,500,470.671113
500.0,500,470.879217
500.0,500,471.093195
500.0,500,472.341853
500.0,500,472.559266
500.0,500,472.76971
500.0,500,472.985373
500.0,500,474.222856
500.0,500,474.436848
500.0,500,474.647323
500.0,500,474.860039
500.0,500,476.160486
500.0,500,476.370053
500.0,500,476.584554
500.0,500,476.795844
500.0,500,478.046098
500.0,500,478.255174
500.0,500,478.468994
500.0,500,478.678395
500.0,500,480.004722
500.0,500,480.214852
500.0,500,480.431462
500.0,500,480.640914
500.0,500,481.88613
500.0,500,482.101193
500.0,500,482.309624
500.0,500,482.529007
500.0,500,483.777824
500.0,500,483.992641
500.0,500,484.202666
500.0,500,484.414176
500.0,500,485.676389
500.0,500,485.889756
500.0,500,486.111488
500.0,500,486.319374
500.0,500,487.569114
500.0,500,487.780211
500.0,500,487.99696
500.0,500,488.211598
500.0,500,489.47543
500.0,500,489.685872
500.0,500,489.894784
500.0,500,490.10893
500.0,500,490.316272
500.0,500,491.593312
500.0,500,491.804254
500.0,500,492.018745
500.0,500,492.228175
500.0,500,493.472563
500.0,500,493.685417
500.0,500,493.895094
500.0,500,494.110286
500.0,500,495.347948
500.0,500,495.575397
500.0,500,495.802495
500.0,500,496.017167
500.0,500,497.267365
500.0,500,497.480356
500.0,500,497.690342
500.0,500,497.899805
500.0,500,499.147182
500.0,500,499.35458
500.0,500,499.568912
500.0,500,499.779185
500.0,500,501.018308
500.0,500,501.227197
500.0,500,501.44018
500.0,500,501.651006
500.0,500,502.898332
500.0,500,503.117354
500.0,500,503.327832
500.0,500,503.543192
500.0,500,504.800995
500.0,500,505.016522
500.0,500,505.226051
500.0,500,505.444497
500.0,500,506.705199
500.0,500,506.917686
500.0,500,507.133347
500.0,500,507.342557
500.0,500,508.590307
500.0,500,508.801169
500.0,500,509.016315
500.0,500,509.225385
500.0,500,510.47333
500.0,500,510.682881
500.0,500,510.89539
500.0,500,511.112077
500.0,500,511.321245
500.0,500,512.566106
500.0,500,512.775715
500.0,500,512.991086
500.0,500,513.200136
500.0,500,514.538547
500.0,500,514.749092
500.0,500,514.962681
500.0,500,515.171313
500.0,500,516.433064
500.0,500,516.645356
